evaluation,model,train_family,test_family,features_used,train_runs,test_runs,train_windows,test_windows,accuracy,precision,recall,f1,fpr,tp,tn,fp,fn
cross_attack,gaussian,dis_flood,grayhole,73,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,gaussian,dis_flood,increase_rank,73,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,gaussian,dis_flood,sinkhole,73,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,gaussian,dis_flood,wormhole,73,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,gaussian,dis_flood,worst_parent,73,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,gaussian,grayhole,blackhole,73,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,gaussian,grayhole,dio_suppression,73,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,gaussian,grayhole,dis_flood,73,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
in_domain,gaussian,grayhole,grayhole,73,10,10,90,90,1.0,1.0,1.0,1.0,0.0,25,65,0,0
cross_attack,gaussian,grayhole,increase_rank,73,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,gaussian,grayhole,sinkhole,73,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,gaussian,grayhole,wormhole,73,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,gaussian,grayhole,worst_parent,73,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,gaussian,increase_rank,blackhole,73,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,gaussian,increase_rank,dio_suppression,73,10,10,90,90,0.3889,0.3125,1.0,0.4762,0.8462,25,10,55,0
cross_attack,gaussian,increase_rank,dis_flood,73,10,10,90,90,0.1111,0.0,0.0,0.0,0.8462,0,10,55,25
cross_attack,gaussian,increase_rank,grayhole,73,10,10,90,90,0.3778,0.3038,0.96,0.4615,0.8462,24,10,55,1
in_domain,gaussian,increase_rank,increase_rank,73,10,10,90,90,0.3889,0.3125,1.0,0.4762,0.8462,25,10,55,0
cross_attack,gaussian,increase_rank,sinkhole,73,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,gaussian,increase_rank,wormhole,73,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,gaussian,increase_rank,worst_parent,73,10,10,90,90,0.1111,0.0,0.0,0.0,0.8462,0,10,55,25
cross_attack,gaussian,sinkhole,blackhole,73,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,gaussian,sinkhole,dio_suppression,73,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,gaussian,sinkhole,dis_flood,73,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,gaussian,sinkhole,grayhole,73,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,gaussian,sinkhole,increase_rank,73,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
in_domain,gaussian,sinkhole,sinkhole,73,10,10,90,90,1.0,1.0,1.0,1.0,0.0,25,65,0,0
cross_attack,gaussian,sinkhole,wormhole,73,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,gaussian,sinkhole,worst_parent,73,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,gaussian,wormhole,blackhole,73,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,gaussian,wormhole,dio_suppression,73,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,gaussian,wormhole,dis_flood,73,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,gaussian,wormhole,grayhole,73,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,gaussian,wormhole,increase_rank,73,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,gaussian,wormhole,sinkhole,73,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
in_domain,gaussian,wormhole,wormhole,73,10,10,90,90,1.0,1.0,1.0,1.0,0.0,25,65,0,0
cross_attack,gaussian,wormhole,worst_parent,73,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,gaussian,worst_parent,blackhole,73,10,10,90,90,0.2778,0.2778,1.0,0.4348,1.0,25,0,65,0
cross_attack,gaussian,worst_parent,dio_suppression,73,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,gaussian,worst_parent,dis_flood,73,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,gaussian,worst_parent,grayhole,73,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,gaussian,worst_parent,increase_rank,73,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,gaussian,worst_parent,sinkhole,73,10,10,90,90,0.2778,0.2778,1.0,0.4348,1.0,25,0,65,0
cross_attack,gaussian,worst_parent,wormhole,73,10,10,90,90,0.3667,0.3049,1.0,0.4673,0.8769,25,8,57,0
in_domain,gaussian,worst_parent,worst_parent,73,10,10,90,90,1.0,1.0,1.0,1.0,0.0,25,65,0,0
in_domain,cart,blackhole,blackhole,73,10,10,90,90,1.0,1.0,1.0,1.0,0.0,25,65,0,0
cross_attack,cart,blackhole,dio_suppression,73,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,cart,blackhole,dis_flood,73,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,cart,blackhole,grayhole,73,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,cart,blackhole,increase_rank,73,10,10,90,90,0.8556,1.0,0.48,0.6486,0.0,12,65,0,13
cross_attack,cart,blackhole,sinkhole,73,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,cart,blackhole,wormhole,73,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,cart,blackhole,worst_parent,73,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,cart,dio_suppression,blackhole,73,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
in_domain,cart,dio_suppression,dio_suppression,73,10,10,90,90,0.8333,1.0,0.4,0.5714,0.0,10,65,0,15
cross_attack,cart,dio_suppression,dis_flood,73,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,cart,dio_suppression,grayhole,73,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,cart,dio_suppression,increase_rank,73,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,cart,dio_suppression,sinkhole,73,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,cart,dio_suppression,wormhole,73,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,cart,dio_suppression,worst_parent,73,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,cart,dis_flood,blackhole,73,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,cart,dis_flood,dio_suppression,73,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
in_domain,cart,dis_flood,dis_flood,73,10,10,90,90,1.0,1.0,1.0,1.0,0.0,25,65,0,0
cross_attack,cart,dis_flood,grayhole,73,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,cart,dis_flood,increase_rank,73,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,cart,dis_flood,sinkhole,73,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,cart,dis_flood,wormhole,73,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,cart,dis_flood,worst_parent,73,10,10,90,90,1.0,1.0,1.0,1.0,0.0,25,65,0,0
cross_attack,cart,grayhole,blackhole,73,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,cart,grayhole,dio_suppression,73,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,cart,grayhole,dis_flood,73,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
in_domain,cart,grayhole,grayhole,73,10,10,90,90,1.0,1.0,1.0,1.0,0.0,25,65,0,0
cross_attack,cart,grayhole,increase_rank,73,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,cart,grayhole,sinkhole,73,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,cart,grayhole,wormhole,73,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,cart,grayhole,worst_parent,73,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,cart,increase_rank,blackhole,73,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,cart,increase_rank,dio_suppression,73,10,10,90,90,0.7222,0.5,0.2,0.2857,0.0769,5,60,5,20
cross_attack,cart,increase_rank,dis_flood,73,10,10,90,90,0.6667,0.0,0.0,0.0,0.0769,0,60,5,25
cross_attack,cart,increase_rank,grayhole,73,10,10,90,90,0.7,0.375,0.12,0.1818,0.0769,3,60,5,22
in_domain,cart,increase_rank,increase_rank,73,10,10,90,90,0.9333,0.8276,0.96,0.8889,0.0769,24,60,5,1
cross_attack,cart,increase_rank,sinkhole,73,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,cart,increase_rank,wormhole,73,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,cart,increase_rank,worst_parent,73,10,10,90,90,0.9444,0.8333,1.0,0.9091,0.0769,25,60,5,0
cross_attack,cart,sinkhole,blackhole,73,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,cart,sinkhole,dio_suppression,73,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,cart,sinkhole,dis_flood,73,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,cart,sinkhole,grayhole,73,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,cart,sinkhole,increase_rank,73,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
in_domain,cart,sinkhole,sinkhole,73,10,10,90,90,1.0,1.0,1.0,1.0,0.0,25,65,0,0
cross_attack,cart,sinkhole,wormhole,73,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,cart,sinkhole,worst_parent,73,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,cart,wormhole,blackhole,73,10,10,90,90,0.3889,0.3125,1.0,0.4762,0.8462,25,10,55,0
cross_attack,cart,wormhole,dio_suppression,73,10,10,90,90,0.3889,0.3125,1.0,0.4762,0.8462,25,10,55,0
cross_attack,cart,wormhole,dis_flood,73,10,10,90,90,0.3889,0.3125,1.0,0.4762,0.8462,25,10,55,0
cross_attack,cart,wormhole,grayhole,73,10,10,90,90,0.3889,0.3125,1.0,0.4762,0.8462,25,10,55,0
cross_attack,cart,wormhole,increase_rank,73,10,10,90,90,0.3889,0.3125,1.0,0.4762,0.8462,25,10,55,0
cross_attack,cart,wormhole,sinkhole,73,10,10,90,90,0.3889,0.3125,1.0,0.4762,0.8462,25,10,55,0
in_domain,cart,wormhole,wormhole,73,10,10,90,90,1.0,1.0,1.0,1.0,0.0,25,65,0,0
cross_attack,cart,wormhole,worst_parent,73,10,10,90,90,0.3889,0.3125,1.0,0.4762,0.8462,25,10,55,0
cross_attack,cart,worst_parent,blackhole,73,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,cart,worst_parent,dio_suppression,73,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,cart,worst_parent,dis_flood,73,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,cart,worst_parent,grayhole,73,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,cart,worst_parent,increase_rank,73,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,cart,worst_parent,sinkhole,73,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,cart,worst_parent,wormhole,73,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
in_domain,cart,worst_parent,worst_parent,73,10,10,90,90,1.0,1.0,1.0,1.0,0.0,25,65,0,0
