run_id,family,mode,binary_run_label,window_label,nodes,seed,window_start_s,window_end_s,post_activation,app_tx_delta,app_rx_delta,app_missed_delta,app_reporting_nodes,parent_found_events,no_parent_events,radio_tx_count,radio_bytes,radio_interfered_count,unique_radio_senders,attacker_node16_radio_tx,root_node1_radio_tx,sinkhole_attack_enabled_events,sinkhole_advertised_rank_events,blackhole_attack_enabled_events,blackhole_drop_events
BH_ATTACK_N16_SEED567890,blackhole,attack,1,0,16,567890,180,240,0,40,40,0,4,0,0,1055,38466,2164,16,344,171,0,0,0,0
BH_ATTACK_N16_SEED567890,blackhole,attack,1,1,16,567890,240,300,1,100,89,0,10,0,0,385,14164,981,15,86,0,0,0,1,85
BH_ATTACK_N16_SEED567890,blackhole,attack,1,1,16,567890,300,360,1,130,5,0,13,0,0,357,12303,892,15,83,0,0,0,0,83
BH_ATTACK_N16_SEED567890,blackhole,attack,1,1,16,567890,360,420,1,10,0,0,1,0,0,369,12826,958,16,88,1,0,0,0,85
BH_ATTACK_N16_SEED567890,blackhole,attack,1,1,16,567890,420,480,1,140,0,0,14,0,0,367,13012,924,15,85,0,0,0,0,84
BH_ATTACK_N16_SEED567890,blackhole,attack,1,1,16,567890,480,540,1,40,0,0,4,0,0,372,13320,931,15,87,0,0,0,0,86
BH_CONTROL_N16_SEED123456,blackhole,control,0,0,16,123456,0,60,0,0,0,0,0,0,0,623,27507,1290,16,188,90,0,0,0,0
BH_CONTROL_N16_SEED123456,blackhole,control,0,0,16,123456,60,120,0,0,0,0,0,0,0,1069,40249,2128,16,337,171,0,0,0,0
BH_CONTROL_N16_SEED123456,blackhole,control,0,0,16,123456,120,180,0,140,140,0,14,0,0,1046,38768,2088,16,337,172,0,0,0,0
BH_CONTROL_N16_SEED123456,blackhole,control,0,0,16,123456,180,240,0,40,40,0,4,0,0,1029,37392,2001,16,333,168,0,0,0,0
BH_CONTROL_N16_SEED123456,blackhole,control,0,0,16,123456,240,300,1,100,98,0,10,0,0,1036,38317,2029,16,332,167,0,0,0,0
BH_CONTROL_N16_SEED123456,blackhole,control,0,0,16,123456,300,360,1,130,130,0,13,0,0,1036,37480,2027,16,337,169,0,0,0,0
BH_CONTROL_N16_SEED123456,blackhole,control,0,0,16,123456,360,420,1,10,10,0,1,0,0,1054,38271,2076,16,343,173,0,0,0,0
BH_CONTROL_N16_SEED123456,blackhole,control,0,0,16,123456,420,480,1,140,140,0,14,0,0,1034,38190,2041,16,338,169,0,0,0,0
BH_CONTROL_N16_SEED123456,blackhole,control,0,0,16,123456,480,540,1,30,30,0,3,0,0,1030,37739,2042,16,335,167,0,0,0,0
