model,source_family,target_family,adaptation_seed_count,adaptation_seeds,evaluation_seeds,features_used,source_runs,adaptation_runs,evaluation_runs,train_windows,test_windows,accuracy,precision,recall,f1,fpr,tp,tn,fp,fn
cart,dio_suppression,grayhole,1,123456,"234567,345678,456789,567890",58,10,2,8,108,72,0.9028,1.0,0.65,0.7879,0.0,13,52,0,7
cart,dio_suppression,grayhole,2,"123456,234567","345678,456789,567890",58,10,4,6,126,54,0.8333,0.8,0.5333,0.64,0.0513,8,37,2,7
cart,dio_suppression,grayhole,3,"123456,234567,345678","456789,567890",58,10,6,4,144,36,0.9722,0.9091,1.0,0.9524,0.0385,10,25,1,0
cart,dio_suppression,increase_rank,0,,"123456,234567,345678,456789,567890",58,10,0,10,90,90,0.6667,0.3333,0.2,0.25,0.1538,5,55,10,20
cart,dio_suppression,increase_rank,1,123456,"234567,345678,456789,567890",58,10,2,8,108,72,0.6528,0.3529,0.3,0.3243,0.2115,6,41,11,14
cart,dio_suppression,increase_rank,2,"123456,234567","345678,456789,567890",58,10,4,6,126,54,0.8889,1.0,0.6,0.75,0.0,9,39,0,6
cart,dio_suppression,increase_rank,3,"123456,234567,345678","456789,567890",58,10,6,4,144,36,0.9167,1.0,0.7,0.8235,0.0,7,26,0,3
cart,dio_suppression,sinkhole,0,,"123456,234567,345678,456789,567890",58,10,0,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cart,dio_suppression,sinkhole,1,123456,"234567,345678,456789,567890",58,10,2,8,108,72,0.9861,1.0,0.95,0.9744,0.0,19,52,0,1
cart,dio_suppression,sinkhole,2,"123456,234567","345678,456789,567890",58,10,4,6,126,54,1.0,1.0,1.0,1.0,0.0,15,39,0,0
cart,dio_suppression,sinkhole,3,"123456,234567,345678","456789,567890",58,10,6,4,144,36,1.0,1.0,1.0,1.0,0.0,10,26,0,0
cart,dio_suppression,sybil,0,,"123456,234567,345678,456789,567890",58,10,0,10,90,90,0.6111,0.0,0.0,0.0,0.1538,0,55,10,25
cart,dio_suppression,sybil,1,123456,"234567,345678,456789,567890",58,10,2,8,108,72,0.9444,1.0,0.8,0.8889,0.0,16,52,0,4
cart,dio_suppression,sybil,2,"123456,234567","345678,456789,567890",58,10,4,6,126,54,0.9259,1.0,0.7333,0.8462,0.0,11,39,0,4
cart,dio_suppression,sybil,3,"123456,234567,345678","456789,567890",58,10,6,4,144,36,0.8889,1.0,0.6,0.75,0.0,6,26,0,4
cart,dio_suppression,wormhole,0,,"123456,234567,345678,456789,567890",58,10,0,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cart,dio_suppression,wormhole,1,123456,"234567,345678,456789,567890",58,10,2,8,108,72,1.0,1.0,1.0,1.0,0.0,20,52,0,0
cart,dio_suppression,wormhole,2,"123456,234567","345678,456789,567890",58,10,4,6,126,54,1.0,1.0,1.0,1.0,0.0,15,39,0,0
cart,dio_suppression,wormhole,3,"123456,234567,345678","456789,567890",58,10,6,4,144,36,1.0,1.0,1.0,1.0,0.0,10,26,0,0
cart,dio_suppression,worst_parent,0,,"123456,234567,345678,456789,567890",58,10,0,10,90,90,0.6111,0.0,0.0,0.0,0.1538,0,55,10,25
cart,dio_suppression,worst_parent,1,123456,"234567,345678,456789,567890",58,10,2,8,108,72,0.8472,0.6452,1.0,0.7843,0.2115,20,41,11,0
cart,dio_suppression,worst_parent,2,"123456,234567","345678,456789,567890",58,10,4,6,126,54,0.963,0.8824,1.0,0.9375,0.0513,15,37,2,0
cart,dio_suppression,worst_parent,3,"123456,234567,345678","456789,567890",58,10,6,4,144,36,0.9722,0.9091,1.0,0.9524,0.0385,10,25,1,0
cart,dis_flood,blackhole,0,,"123456,234567,345678,456789,567890",58,10,0,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cart,dis_flood,blackhole,1,123456,"234567,345678,456789,567890",58,10,2,8,108,72,1.0,1.0,1.0,1.0,0.0,20,52,0,0
