evaluation,model,train_family,test_family,features_used,train_runs,test_runs,train_windows,test_windows,accuracy,precision,recall,f1,fpr,tp,tn,fp,fn
in_domain,gaussian,sinkhole,sinkhole,69,10,10,90,90,1.0,1.0,1.0,1.0,0.0,25,65,0,0
cross_attack,gaussian,sinkhole,sybil,69,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,gaussian,sinkhole,wormhole,69,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,gaussian,sinkhole,worst_parent,69,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,gaussian,sybil,blackhole,69,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,gaussian,sybil,dio_suppression,69,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,gaussian,sybil,dis_flood,69,10,10,90,90,0.8,1.0,0.28,0.4375,0.0,7,65,0,18
cross_attack,gaussian,sybil,grayhole,69,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,gaussian,sybil,increase_rank,69,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,gaussian,sybil,sinkhole,69,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
in_domain,gaussian,sybil,sybil,69,10,10,90,90,1.0,1.0,1.0,1.0,0.0,25,65,0,0
cross_attack,gaussian,sybil,wormhole,69,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,gaussian,sybil,worst_parent,69,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,gaussian,wormhole,blackhole,69,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,gaussian,wormhole,dio_suppression,69,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,gaussian,wormhole,dis_flood,69,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,gaussian,wormhole,grayhole,69,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,gaussian,wormhole,increase_rank,69,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,gaussian,wormhole,sinkhole,69,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,gaussian,wormhole,sybil,69,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
in_domain,gaussian,wormhole,wormhole,69,10,10,90,90,1.0,1.0,1.0,1.0,0.0,25,65,0,0
cross_attack,gaussian,wormhole,worst_parent,69,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,gaussian,worst_parent,blackhole,69,10,10,90,90,0.2778,0.2778,1.0,0.4348,1.0,25,0,65,0
cross_attack,gaussian,worst_parent,dio_suppression,69,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,gaussian,worst_parent,dis_flood,69,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,gaussian,worst_parent,grayhole,69,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,gaussian,worst_parent,increase_rank,69,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,gaussian,worst_parent,sinkhole,69,10,10,90,90,0.2778,0.2778,1.0,0.4348,1.0,25,0,65,0
cross_attack,gaussian,worst_parent,sybil,69,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,gaussian,worst_parent,wormhole,69,10,10,90,90,0.3667,0.3049,1.0,0.4673,0.8769,25,8,57,0
in_domain,gaussian,worst_parent,worst_parent,69,10,10,90,90,1.0,1.0,1.0,1.0,0.0,25,65,0,0
in_domain,cart,blackhole,blackhole,69,10,10,90,90,1.0,1.0,1.0,1.0,0.0,25,65,0,0
cross_attack,cart,blackhole,dio_suppression,69,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,cart,blackhole,dis_flood,69,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,cart,blackhole,grayhole,69,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,cart,blackhole,increase_rank,69,10,10,90,90,0.8556,1.0,0.48,0.6486,0.0,12,65,0,13
cross_attack,cart,blackhole,sinkhole,69,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,cart,blackhole,sybil,69,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,cart,blackhole,wormhole,69,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,cart,blackhole,worst_parent,69,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,cart,dio_suppression,blackhole,69,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
in_domain,cart,dio_suppression,dio_suppression,69,10,10,90,90,0.8444,0.6774,0.84,0.75,0.1538,21,55,10,4
cross_attack,cart,dio_suppression,dis_flood,69,10,10,90,90,0.7778,0.6,0.6,0.6,0.1538,15,55,10,10
cross_attack,cart,dio_suppression,grayhole,69,10,10,90,90,0.7556,0.5652,0.52,0.5417,0.1538,13,55,10,12
cross_attack,cart,dio_suppression,increase_rank,69,10,10,90,90,0.6667,0.3333,0.2,0.25,0.1538,5,55,10,20
cross_attack,cart,dio_suppression,sinkhole,69,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,cart,dio_suppression,sybil,69,10,10,90,90,0.6111,0.0,0.0,0.0,0.1538,0,55,10,25
cross_attack,cart,dio_suppression,wormhole,69,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,cart,dio_suppression,worst_parent,69,10,10,90,90,0.6111,0.0,0.0,0.0,0.1538,0,55,10,25
cross_attack,cart,dis_flood,blackhole,69,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,cart,dis_flood,dio_suppression,69,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
in_domain,cart,dis_flood,dis_flood,69,10,10,90,90,1.0,1.0,1.0,1.0,0.0,25,65,0,0
cross_attack,cart,dis_flood,grayhole,69,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,cart,dis_flood,increase_rank,69,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,cart,dis_flood,sinkhole,69,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,cart,dis_flood,sybil,69,10,10,90,90,1.0,1.0,1.0,1.0,0.0,25,65,0,0
cross_attack,cart,dis_flood,wormhole,69,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,cart,dis_flood,worst_parent,69,10,10,90,90,1.0,1.0,1.0,1.0,0.0,25,65,0,0
cross_attack,cart,grayhole,blackhole,69,10,10,90,90,1.0,1.0,1.0,1.0,0.0,25,65,0,0
cross_attack,cart,grayhole,dio_suppression,69,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,cart,grayhole,dis_flood,69,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
in_domain,cart,grayhole,grayhole,69,10,10,90,90,1.0,1.0,1.0,1.0,0.0,25,65,0,0
cross_attack,cart,grayhole,increase_rank,69,10,10,90,90,0.7444,1.0,0.08,0.1481,0.0,2,65,0,23
cross_attack,cart,grayhole,sinkhole,69,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,cart,grayhole,sybil,69,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
