model,source_family,target_family,adaptation_seed_count,splits,mean_accuracy,mean_precision,mean_recall,mean_f1,mean_fpr
cart,dis_flood,increase_rank,2,1,0.8889,1.0,0.6,0.75,0.0
cart,dis_flood,increase_rank,3,1,0.9167,1.0,0.7,0.8235,0.0
cart,dis_flood,sinkhole,0,1,0.7222,0.0,0.0,0.0,0.0
cart,dis_flood,sinkhole,1,1,1.0,1.0,1.0,1.0,0.0
cart,dis_flood,sinkhole,2,1,1.0,1.0,1.0,1.0,0.0
cart,dis_flood,sinkhole,3,1,1.0,1.0,1.0,1.0,0.0
cart,dis_flood,sybil,0,1,1.0,1.0,1.0,1.0,0.0
cart,dis_flood,sybil,1,1,1.0,1.0,1.0,1.0,0.0
cart,dis_flood,sybil,2,1,1.0,1.0,1.0,1.0,0.0
cart,dis_flood,sybil,3,1,1.0,1.0,1.0,1.0,0.0
cart,dis_flood,wormhole,0,1,0.7222,0.0,0.0,0.0,0.0
cart,dis_flood,wormhole,1,1,1.0,1.0,1.0,1.0,0.0
cart,dis_flood,wormhole,2,1,1.0,1.0,1.0,1.0,0.0
cart,dis_flood,wormhole,3,1,1.0,1.0,1.0,1.0,0.0
cart,dis_flood,worst_parent,0,1,1.0,1.0,1.0,1.0,0.0
cart,dis_flood,worst_parent,1,1,1.0,1.0,1.0,1.0,0.0
cart,dis_flood,worst_parent,2,1,1.0,1.0,1.0,1.0,0.0
cart,dis_flood,worst_parent,3,1,1.0,1.0,1.0,1.0,0.0
cart,grayhole,blackhole,0,1,1.0,1.0,1.0,1.0,0.0
cart,grayhole,blackhole,1,1,1.0,1.0,1.0,1.0,0.0
cart,grayhole,blackhole,2,1,1.0,1.0,1.0,1.0,0.0
cart,grayhole,blackhole,3,1,1.0,1.0,1.0,1.0,0.0
cart,grayhole,dio_suppression,0,1,0.7222,0.0,0.0,0.0,0.0
cart,grayhole,dio_suppression,1,1,0.7222,0.0,0.0,0.0,0.0
cart,grayhole,dio_suppression,2,1,0.7222,0.0,0.0,0.0,0.0
cart,grayhole,dio_suppression,3,1,0.7222,0.0,0.0,0.0,0.0
cart,grayhole,dis_flood,0,1,0.7222,0.0,0.0,0.0,0.0
cart,grayhole,dis_flood,1,1,1.0,1.0,1.0,1.0,0.0
cart,grayhole,dis_flood,2,1,1.0,1.0,1.0,1.0,0.0
cart,grayhole,dis_flood,3,1,1.0,1.0,1.0,1.0,0.0
cart,grayhole,increase_rank,0,1,0.7444,1.0,0.08,0.1481,0.0
cart,grayhole,increase_rank,1,1,0.875,1.0,0.55,0.7097,0.0
cart,grayhole,increase_rank,2,1,0.8519,1.0,0.4667,0.6364,0.0
cart,grayhole,increase_rank,3,1,0.8611,1.0,0.5,0.6667,0.0
cart,grayhole,sinkhole,0,1,0.7222,0.0,0.0,0.0,0.0
