condition,family,model,feature_set,adaptation_seeds,selected_seeds,test_seeds,adaptation_windows,test_windows,n,accuracy,precision,recall,f1,f2,fpr,tp,tn,fp,fn
ATTACKER_RELOCATED,blackhole,cart,coarse_plus_routing,2,"234567,456789","123456,345678,567890",36,54,54,1.0,1.0,1.0,1.0,1.0,0.0,15,39,0,0
ATTACKER_RELOCATED,blackhole,cart,coarse_plus_routing,2,"234567,567890","123456,345678,456789",36,54,54,1.0,1.0,1.0,1.0,1.0,0.0,15,39,0,0
ATTACKER_RELOCATED,blackhole,cart,coarse_plus_routing,2,"345678,456789","123456,234567,567890",36,54,54,1.0,1.0,1.0,1.0,1.0,0.0,15,39,0,0
ATTACKER_RELOCATED,blackhole,cart,coarse_plus_routing,2,"345678,567890","123456,234567,456789",36,54,54,1.0,1.0,1.0,1.0,1.0,0.0,15,39,0,0
ATTACKER_RELOCATED,blackhole,cart,coarse_plus_routing,2,"456789,567890","123456,234567,345678",36,54,54,1.0,1.0,1.0,1.0,1.0,0.0,15,39,0,0
ATTACKER_RELOCATED,blackhole,cart,coarse_plus_routing,3,"123456,234567,345678","456789,567890",54,36,36,1.0,1.0,1.0,1.0,1.0,0.0,10,26,0,0
ATTACKER_RELOCATED,blackhole,cart,coarse_plus_routing,3,"123456,234567,456789","345678,567890",54,36,36,1.0,1.0,1.0,1.0,1.0,0.0,10,26,0,0
ATTACKER_RELOCATED,blackhole,cart,coarse_plus_routing,3,"123456,234567,567890","345678,456789",54,36,36,1.0,1.0,1.0,1.0,1.0,0.0,10,26,0,0
ATTACKER_RELOCATED,blackhole,cart,coarse_plus_routing,3,"123456,345678,456789","234567,567890",54,36,36,1.0,1.0,1.0,1.0,1.0,0.0,10,26,0,0
ATTACKER_RELOCATED,blackhole,cart,coarse_plus_routing,3,"123456,345678,567890","234567,456789",54,36,36,1.0,1.0,1.0,1.0,1.0,0.0,10,26,0,0
ATTACKER_RELOCATED,blackhole,cart,coarse_plus_routing,3,"123456,456789,567890","234567,345678",54,36,36,1.0,1.0,1.0,1.0,1.0,0.0,10,26,0,0
ATTACKER_RELOCATED,blackhole,cart,coarse_plus_routing,3,"234567,345678,456789","123456,567890",54,36,36,1.0,1.0,1.0,1.0,1.0,0.0,10,26,0,0
ATTACKER_RELOCATED,blackhole,cart,coarse_plus_routing,3,"234567,345678,567890","123456,456789",54,36,36,1.0,1.0,1.0,1.0,1.0,0.0,10,26,0,0
ATTACKER_RELOCATED,blackhole,cart,coarse_plus_routing,3,"234567,456789,567890","123456,345678",54,36,36,1.0,1.0,1.0,1.0,1.0,0.0,10,26,0,0
ATTACKER_RELOCATED,blackhole,cart,coarse_plus_routing,3,"345678,456789,567890","123456,234567",54,36,36,1.0,1.0,1.0,1.0,1.0,0.0,10,26,0,0
ATTACKER_RELOCATED,sinkhole,cart,coarse,0,,"123456,234567,345678,456789,567890",0,90,90,0.7556,0.5714,0.48,0.5217,0.4959,0.1385,12,56,9,13
ATTACKER_RELOCATED,sinkhole,cart,coarse,1,123456,"234567,345678,456789,567890",18,72,72,0.7222,0.5,0.1,0.1667,0.119,0.0385,2,50,2,18
ATTACKER_RELOCATED,sinkhole,cart,coarse,1,234567,"123456,345678,456789,567890",18,72,72,0.7361,0.5333,0.4,0.4571,0.4211,0.1346,8,45,7,12
ATTACKER_RELOCATED,sinkhole,cart,coarse,1,345678,"123456,234567,456789,567890",18,72,72,0.7083,0.4706,0.4,0.4324,0.4124,0.1731,8,43,9,12
ATTACKER_RELOCATED,sinkhole,cart,coarse,1,456789,"123456,234567,345678,567890",18,72,72,0.75,0.5556,0.5,0.5263,0.5102,0.1538,10,44,8,10
ATTACKER_RELOCATED,sinkhole,cart,coarse,1,567890,"123456,234567,345678,456789",18,72,72,0.6667,0.0,0.0,0,0,0.0769,0,48,4,20
ATTACKER_RELOCATED,sinkhole,cart,coarse,2,"123456,234567","345678,456789,567890",36,54,54,0.7593,0.6,0.4,0.48,0.4286,0.1026,6,35,4,9
ATTACKER_RELOCATED,sinkhole,cart,coarse,2,"123456,345678","234567,456789,567890",36,54,54,0.7037,0.3333,0.0667,0.1111,0.0794,0.0513,1,37,2,14
ATTACKER_RELOCATED,sinkhole,cart,coarse,2,"123456,456789","234567,345678,567890",36,54,54,0.7778,0.6154,0.5333,0.5714,0.5479,0.1282,8,34,5,7
ATTACKER_RELOCATED,sinkhole,cart,coarse,2,"123456,567890","234567,345678,456789",36,54,54,0.7778,0.6667,0.4,0.5,0.4348,0.0769,6,36,3,9
ATTACKER_RELOCATED,sinkhole,cart,coarse,2,"234567,345678","123456,456789,567890",36,54,54,0.6852,0.4286,0.4,0.4138,0.4054,0.2051,6,31,8,9
ATTACKER_RELOCATED,sinkhole,cart,coarse,2,"234567,456789","123456,345678,567890",36,54,54,0.7222,0.5,0.4,0.4444,0.4167,0.1538,6,33,6,9
ATTACKER_RELOCATED,sinkhole,cart,coarse,2,"234567,567890","123456,345678,456789",36,54,54,0.7407,0.5455,0.4,0.4615,0.4225,0.1282,6,34,5,9
ATTACKER_RELOCATED,sinkhole,cart,coarse,2,"345678,456789","123456,234567,567890",36,54,54,0.7407,0.5333,0.5333,0.5333,0.5333,0.1795,8,32,7,7
ATTACKER_RELOCATED,sinkhole,cart,coarse,2,"345678,567890","123456,234567,456789",36,54,54,0.7407,0.5455,0.4,0.4615,0.4225,0.1282,6,34,5,9
ATTACKER_RELOCATED,sinkhole,cart,coarse,2,"456789,567890","123456,234567,345678",36,54,54,0.7037,0.0,0.0,0,0,0.0256,0,38,1,15
ATTACKER_RELOCATED,sinkhole,cart,coarse,3,"123456,234567,345678","456789,567890",54,36,36,0.7778,0.6667,0.4,0.5,0.4348,0.0769,4,24,2,6
ATTACKER_RELOCATED,sinkhole,cart,coarse,3,"123456,234567,456789","345678,567890",54,36,36,0.75,0.5714,0.4,0.4706,0.4255,0.1154,4,23,3,6
ATTACKER_RELOCATED,sinkhole,cart,coarse,3,"123456,234567,567890","345678,456789",54,36,36,0.7222,0.5,0.1,0.1667,0.119,0.0385,1,25,1,9
ATTACKER_RELOCATED,sinkhole,cart,coarse,3,"123456,345678,456789","234567,567890",54,36,36,0.75,0.5714,0.4,0.4706,0.4255,0.1154,4,23,3,6
ATTACKER_RELOCATED,sinkhole,cart,coarse,3,"123456,345678,567890","234567,456789",54,36,36,0.7778,0.6667,0.4,0.5,0.4348,0.0769,4,24,2,6
ATTACKER_RELOCATED,sinkhole,cart,coarse,3,"123456,456789,567890","234567,345678",54,36,36,0.6944,0.0,0.0,0,0,0.0385,0,25,1,10
ATTACKER_RELOCATED,sinkhole,cart,coarse,3,"234567,345678,456789","123456,567890",54,36,36,0.6944,0.4286,0.3,0.3529,0.3191,0.1538,3,22,4,7
ATTACKER_RELOCATED,sinkhole,cart,coarse,3,"234567,345678,567890","123456,456789",54,36,36,0.6667,0.4,0.4,0.4,0.4,0.2308,4,20,6,6
ATTACKER_RELOCATED,sinkhole,cart,coarse,3,"234567,456789,567890","123456,345678",54,36,36,0.7222,0.5,0.4,0.4444,0.4167,0.1538,4,22,4,6
ATTACKER_RELOCATED,sinkhole,cart,coarse,3,"345678,456789,567890","123456,234567",54,36,36,0.75,0.5556,0.5,0.5263,0.5102,0.1538,5,22,4,5
ATTACKER_RELOCATED,sinkhole,cart,coarse_plus_routing,0,,"123456,234567,345678,456789,567890",0,90,90,0.4333,0.3289,1.0,0.495,0.7102,0.7846,25,14,51,0
ATTACKER_RELOCATED,sinkhole,cart,coarse_plus_routing,1,123456,"234567,345678,456789,567890",18,72,72,1.0,1.0,1.0,1.0,1.0,0.0,20,52,0,0
ATTACKER_RELOCATED,sinkhole,cart,coarse_plus_routing,1,234567,"123456,345678,456789,567890",18,72,72,1.0,1.0,1.0,1.0,1.0,0.0,20,52,0,0
ATTACKER_RELOCATED,sinkhole,cart,coarse_plus_routing,1,345678,"123456,234567,456789,567890",18,72,72,1.0,1.0,1.0,1.0,1.0,0.0,20,52,0,0
