app_missed_delta,app_reporting_nodes,app_rx_delta,app_tx_delta,attacker_node16_radio_tx,binary_run_label,blackhole_attack_enabled_events,blackhole_drop_events,dao_rx_count,dao_tx_count,dio_rx_count,dio_rx_low_rank_nonroot_count,dio_rx_nonroot_count,dio_rx_nonroot_rank_max,dio_rx_nonroot_rank_mean,dio_rx_nonroot_rank_min,dio_rx_nonroot_rank_range,dio_rx_rank_max,dio_rx_rank_mean,dio_rx_rank_min,dio_rx_rank_range,dio_suppression_attack_enabled_events,dio_suppression_events,dio_tx_count,dio_tx_rank_mean,dis_flood_attack_enabled_events,dis_flood_sent_events,dis_rx_count,dis_tx_count,family,grayhole_attack_enabled_events,grayhole_drop_events,increase_rank_advertised_rank_events,increase_rank_attack_enabled_events,mode,no_parent_events,nodes,own_neighbor_count_max,own_neighbor_count_mean,own_rank_max,own_rank_mean,own_rank_min,own_rank_range,own_state_sample_count,parent_found_events,parent_switch_count,parent_switch_to_nonroot_count,parent_switch_to_root_count,post_activation,radio_bytes,radio_interfered_count,radio_tx_count,root_node1_radio_tx,run_id,seed,significant_rank_update_count,sinkhole_advertised_rank_events,sinkhole_attack_enabled_events,state_low_rank_nonroot_pairs,state_low_rank_nonroot_senders,state_nonroot_rank_max,state_nonroot_rank_mean,state_nonroot_rank_min,state_nonroot_rank_range,state_receivers_exposed_low_rank_nonroot,stream_id,stream_sequence,sybil_attack_enabled_events,sybil_sent_dio_events,sybil_spoofed_dio_events,topology_edge_count,topology_max_depth,topology_max_parent_fanout,topology_mean_depth,topology_root_direct_children,topology_unique_parents,unique_dio_receivers,unique_dio_senders,unique_low_rank_nonroot_senders,unique_parent_targets,unique_radio_senders,window_end_s,window_label,window_start_s,wormhole_attack_enabled_events,wormhole_endpoint_radio_events,worst_parent_attack_enabled_events,worst_parent_selection_events
0,0,0,0,342,1,0,0,0,0,278,0,278,748,571.464,256,492,748,571.464,256,492,0,0,42,562.1905,0,0,0,0,blackhole,0,0,0,0,attack,0,16,12,7.6875,878,577.375,128,750,16,0,0,0,0,0,40168,2230,1073,170,BH_ATTACK_N16_SEED234567,234567,0,0,0,0,0,715,536.4651,256,459,0,blackhole:attack:234567,11,0,0,0,15,4,4,2.8667,1,8,16,15,0,0,16,120,0,60,0,0,0,0
0,14,140,140,343,1,0,0,0,0,138,0,137,687,519.0292,256,431,687,516.1957,128,559,0,0,25,516.36,0,0,0,0,blackhole,0,0,0,0,attack,0,16,13,8.125,710,499.3125,128,582,16,0,0,0,0,0,39625,2230,1072,175,BH_ATTACK_N16_SEED234567,234567,0,0,0,0,0,683,514.7132,256,427,0,blackhole:attack:234567,12,0,0,0,15,4,4,2.8667,1,8,16,16,0,0,16,180,0,120,0,0,0,0
0,6,60,60,337,1,0,0,0,0,18,0,17,664,461.3529,384,280,664,442.8333,128,536,0,0,11,476.4545,0,0,0,0,blackhole,0,0,0,0,attack,0,16,13,8.125,672,484.125,128,544,16,0,0,0,0,0,37414,2100,1031,171,BH_ATTACK_N16_SEED234567,234567,0,0,0,0,0,683,514.6822,256,427,0,blackhole:attack:234567,13,0,0,0,15,4,4,2.8667,1,8,12,11,0,0,16,240,0,180,0,0,0,0
0,8,75,80,93,1,1,82,0,0,127,0,127,655,503.7087,256,399,655,503.7087,256,399,0,0,27,508.4815,0,0,0,0,blackhole,0,0,0,0,attack,0,16,13,8.125,657,479.625,128,529,16,0,0,0,0,1,14941,1045,403,4,BH_ATTACK_N16_SEED234567,234567,0,0,0,0,0,657,504.4031,256,401,0,blackhole:attack:234567,14,0,0,0,15,4,4,2.8667,1,8,16,15,0,0,16,300,1,240,0,0,0,0
0,13,6,130,84,1,0,83,0,0,17,0,17,668,564.7647,384,284,668,564.7647,384,284,0,0,10,492.5,0,0,0,0,blackhole,0,0,0,0,attack,0,16,13,8.125,671,477.8125,128,543,16,0,0,0,0,1,12170,904,353,0,BH_ATTACK_N16_SEED234567,234567,0,0,0,0,0,668,505.0853,256,412,0,blackhole:attack:234567,15,0,0,0,15,4,4,2.8667,1,8,13,10,0,0,15,360,1,300,0,0,0,0
0,1,0,10,84,1,0,84,0,0,10,0,10,654,515.8,384,270,654,515.8,384,270,0,0,10,515.8,0,0,0,0,blackhole,0,0,0,0,attack,0,16,13,8.125,657,475.8125,128,529,16,0,0,0,0,1,12299,926,357,0,BH_ATTACK_N16_SEED234567,234567,0,0,0,0,0,668,504.814,256,412,0,blackhole:attack:234567,16,0,0,0,15,4,4,2.8667,1,8,9,10,0,0,15,420,1,360,0,0,0,0
0,14,0,140,84,1,0,83,0,0,70,0,69,647,496.4783,256,391,647,491.2143,128,519,0,0,17,492.8824,0,0,0,0,blackhole,0,0,0,0,attack,0,16,13,8.125,650,475.875,128,522,16,0,0,0,0,1,12707,914,356,1,BH_ATTACK_N16_SEED234567,234567,0,0,0,0,0,653,503.093,256,397,0,blackhole:attack:234567,17,0,0,0,15,4,4,2.8667,1,8,16,15,0,0,16,480,1,420,0,0,0,0
0,6,0,60,86,1,0,86,0,0,71,0,71,646,527.0423,384,262,646,527.0423,384,262,0,0,17,523.0588,0,0,0,0,blackhole,0,0,0,0,attack,0,16,13,8.125,646,475.0,128,518,16,0,0,0,0,1,13258,945,373,0,BH_ATTACK_N16_SEED234567,234567,0,0,0,0,0,646,501.7829,256,390,0,blackhole:attack:234567,18,0,0,0,15,4,4,2.8667,1,8,15,13,0,0,15,540,1,480,0,0,0,0
0,0,0,0,178,1,0,0,14,28,356,0,352,65535,12013.0369,281,65254,65535,11879.4972,128,65407,0,0,100,40826.62,0,0,53,14,blackhole,0,0,0,0,attack,15,16,6,2.7333,868,681.8667,338,530,15,15,15,14,1,0,26481,1300,596,87,BH_ATTACK_N16_SEED345678,345678,0,0,0,0,0,65535,1670.5082,281,65254,0,blackhole:attack:345678,19,0,0,0,0,0,0,0.0,0,0,16,16,0,7,16,60,0,0,0,0,0,0
0,0,0,0,342,1,0,0,1,2,272,0,271,824,604.8745,256,568,824,603.1213,128,696,0,0,39,601.359,0,0,0,0,blackhole,0,0,0,0,attack,0,16,12,7.6875,833,575.6875,128,705,16,0,0,0,0,0,40361,2250,1074,172,BH_ATTACK_N16_SEED345678,345678,0,0,0,0,0,706,541.5116,256,450,0,blackhole:attack:345678,20,0,0,0,15,4,4,2.8667,1,7,16,16,0,0,16,120,0,60,0,0,0,0
