algorithm,episode,family,seed,defender_reward,adversary_q_sinkhole,adversary_q_sybil
dqn,98,sinkhole,234567,-14.16,10.7014,10.8823
dqn,99,sybil,345678,-9.18,10.7014,10.627
dqn,100,sinkhole,123456,0.88,8.9642,10.627
dqn,101,sybil,234567,-14.14,8.9642,11.1539
dqn,102,sinkhole,345678,0.94,7.4786,11.1539
dqn,103,sinkhole,123456,0.92,6.2188,11.1539
dqn,104,sybil,234567,-14.34,6.2188,11.6318
dqn,105,sybil,345678,-9.3,6.2188,11.2821
dqn,106,sinkhole,123456,-14.18,7.413,11.2821
dqn,107,sybil,234567,-14.1,7.413,11.7047
dqn,108,sybil,345678,-14.1,7.413,12.064
dqn,109,sybil,123456,-14.1,7.413,12.3694
dqn,110,sybil,234567,-14.16,7.413,12.638
dqn,111,sybil,345678,-9.26,7.413,12.1313
dqn,112,sybil,123456,-14.28,7.413,12.4536
dqn,113,sybil,234567,-14.24,7.413,12.7216
dqn,114,sybil,345678,-9.34,7.413,12.2143
dqn,115,sybil,123456,-4.1,7.413,10.9972
dqn,116,sybil,234567,-14.1,7.413,11.4626
dqn,117,sybil,345678,-4.1,7.413,10.3582
dqn,118,sybil,123456,-14.02,7.413,10.9075
dqn,119,sybil,234567,-14.08,7.413,11.3834
dqn,120,sybil,345678,-14.14,7.413,11.7969
dqn,121,sybil,123456,-14.1,7.413,12.1423
dqn,122,sybil,234567,-4.16,7.413,10.945
dqn,123,sybil,345678,-4.04,7.413,9.9092
dqn,124,sybil,123456,-14.38,7.413,10.5798
dqn,125,sybil,234567,-14.28,7.413,11.1349
dqn,126,sinkhole,345678,-14.0,8.401,11.1349
dqn,127,sybil,123456,-14.1,8.401,11.5796
dqn,128,sybil,234567,-14.22,8.401,11.9757
dqn,129,sybil,345678,-9.38,8.401,11.5863
dqn,130,sybil,123456,-14.34,8.401,11.9994
dqn,131,sybil,234567,-14.32,8.401,12.3475
dqn,132,sybil,345678,-14.16,8.401,12.6194
dqn,133,sybil,123456,-14.32,8.401,12.8745
dqn,134,sybil,234567,-14.14,8.401,13.0643
dqn,135,sinkhole,345678,-14.06,9.2499,13.0643
dqn,136,sybil,123456,-14.1,9.2499,13.2196
dqn,137,sinkhole,234567,-14.1,9.9774,13.2196
dqn,138,sinkhole,345678,-14.1,10.5958,13.2196
dqn,139,sybil,123456,-14.04,10.5958,13.3427
dqn,140,sybil,234567,-14.08,10.5958,13.4533
dqn,141,sybil,345678,-9.22,10.5958,12.8183
dqn,142,sybil,123456,-14.22,10.5958,13.0286
dqn,143,sybil,234567,-4.14,10.5958,11.6953
dqn,144,sinkhole,345678,-14.08,11.1184,11.6953
dqn,145,sybil,123456,-14.26,11.1184,12.08
dqn,146,sybil,234567,-14.4,11.1184,12.428
dqn,147,sybil,345678,-9.12,11.1184,11.9318
dqn,148,sybil,123456,-14.34,11.1184,12.293
dqn,149,sybil,234567,0.92,11.1184,10.3111
dqn,150,sinkhole,345678,-14.2,11.5807,10.3111
dqn,151,sinkhole,123456,-14.18,11.9706,10.3111
dqn,152,sinkhole,234567,-14.08,12.287,10.3111
dqn,153,sinkhole,345678,-14.0,12.5439,10.3111
dqn,154,sinkhole,123456,-9.1,12.0273,10.3111
dqn,155,sinkhole,234567,-14.12,12.3412,10.3111
dqn,156,sinkhole,345678,-14.08,12.602,10.3111
dqn,157,sinkhole,123456,-9.16,12.0857,10.3111
dqn,158,sinkhole,234567,-14.14,12.3939,10.3111
dqn,159,sinkhole,345678,-14.08,12.6468,10.3111
dqn,160,sybil,123456,-4.26,12.6468,9.4034
dqn,161,sinkhole,234567,-14.08,12.8618,9.4034
dqn,162,sinkhole,345678,-14.16,13.0565,9.4034
dqn,163,sinkhole,123456,-14.1,13.213,9.4034
dqn,164,sinkhole,234567,-14.02,13.3341,9.4034
dqn,165,sinkhole,345678,-14.0,13.434,9.4034
dqn,166,sybil,123456,-4.08,13.434,8.6049
dqn,167,sinkhole,234567,-9.26,12.8079,8.6049
dqn,168,sinkhole,345678,-14.18,13.0137,8.6049
dqn,169,sinkhole,123456,-14.14,13.1826,8.6049
dqn,170,sinkhole,234567,-14.1,13.3202,8.6049
dqn,171,sinkhole,345678,-14.26,13.4612,8.6049
dqn,172,sinkhole,123456,-14.4,13.602,8.6049
dqn,173,sinkhole,234567,-14.22,13.6947,8.6049
dqn,174,sinkhole,345678,-14.24,13.7765,8.6049
dqn,175,sinkhole,123456,-9.24,13.096,8.6049
dqn,176,sinkhole,234567,-9.3,12.5266,8.6049
dqn,177,sinkhole,345678,-14.28,12.7896,8.6049
dqn,178,sinkhole,123456,-14.38,13.0282,8.6049
dqn,179,sinkhole,234567,-14.18,13.201,8.6049
dqn,180,sinkhole,345678,-14.24,13.3568,8.6049
dqn,181,sinkhole,123456,-14.26,13.4923,8.6049
dqn,182,sinkhole,234567,-14.08,13.5805,8.6049
dqn,183,sinkhole,345678,-14.32,13.6914,8.6049
dqn,184,sinkhole,123456,-9.32,13.0357,8.6049
dqn,185,sinkhole,234567,-14.18,13.2073,8.6049
dqn,186,sinkhole,345678,-14.32,13.3742,8.6049
dqn,187,sinkhole,123456,-9.28,12.7601,8.6049
dqn,188,sinkhole,234567,-14.32,12.9941,8.6049
dqn,189,sinkhole,345678,-14.24,13.181,8.6049
dqn,190,sinkhole,123456,-14.26,13.3428,8.6049
dqn,191,sinkhole,234567,-14.1,13.4564,8.6049
dqn,192,sinkhole,345678,-14.1,13.5529,8.6049
dqn,193,sinkhole,123456,-14.22,13.653,8.6049
dqn,194,sinkhole,234567,-4.24,12.241,8.6049
dqn,195,sinkhole,345678,-14.28,12.5469,8.6049
dqn,196,sinkhole,123456,-9.46,12.0839,8.6049
dqn,197,sinkhole,234567,-4.28,10.9133,8.6049
dqn,198,sinkhole,345678,-14.24,11.4123,8.6049
dqn,199,sinkhole,123456,-9.34,11.1014,8.6049
dqn,200,sinkhole,234567,-14.1,11.5512,8.6049
dqn,201,sinkhole,345678,-14.24,11.9545,8.6049
dqn,202,sybil,123456,-14.1,11.9545,9.4292
dqn,203,sinkhole,234567,-14.02,12.2644,9.4292
dqn,204,sinkhole,345678,0.98,10.2777,9.4292
dqn,205,sinkhole,123456,-14.16,10.8601,9.4292
dqn,206,sinkhole,234567,-4.64,9.927,9.4292
dqn,207,sinkhole,345678,-14.46,10.607,9.4292
dqn,208,sinkhole,123456,-9.66,10.4649,9.4292
dqn,209,sinkhole,234567,-4.56,9.5792,9.4292
dqn,210,sinkhole,345678,-14.5,10.3173,9.4292
dqn,211,sinkhole,123456,-9.44,10.1857,9.4292
dqn,212,sinkhole,234567,-9.34,10.0589,9.4292
dqn,213,sinkhole,345678,-14.08,10.662,9.4292
