run_id,condition,family,mode,binary_run_label,window_label,nodes,seed,window_start_s,window_end_s,post_activation,app_tx_delta,app_rx_delta,app_missed_delta,app_reporting_nodes,radio_tx_count,radio_bytes,radio_interfered_count,unique_radio_senders,attacker_node16_radio_tx,root_node1_radio_tx,dio_rx_count,dio_tx_count,dis_rx_count,dis_tx_count,dao_rx_count,dao_tx_count,parent_switch_count,parent_switch_to_root_count,parent_switch_to_nonroot_count,unique_parent_targets,parent_found_events,no_parent_events,significant_rank_update_count,unique_dio_senders,unique_dio_receivers,dio_rx_rank_min,dio_rx_rank_mean,dio_rx_rank_max,dio_rx_rank_range,dio_rx_nonroot_count,dio_rx_nonroot_rank_min,dio_rx_nonroot_rank_mean,dio_rx_nonroot_rank_max,dio_rx_nonroot_rank_range,dio_rx_low_rank_nonroot_count,unique_low_rank_nonroot_senders,dio_tx_rank_mean,state_nonroot_rank_min,state_nonroot_rank_mean,state_nonroot_rank_max,state_nonroot_rank_range,state_low_rank_nonroot_pairs,state_low_rank_nonroot_senders,state_receivers_exposed_low_rank_nonroot,own_state_sample_count,own_rank_min,own_rank_mean,own_rank_max,own_rank_range,own_neighbor_count_mean,own_neighbor_count_max,topology_edge_count,topology_unique_parents,topology_max_parent_fanout,topology_root_direct_children,topology_mean_depth,topology_max_depth,sinkhole_attack_enabled_events,sinkhole_advertised_rank_events,blackhole_attack_enabled_events,blackhole_drop_events,grayhole_attack_enabled_events,grayhole_drop_events,increase_rank_attack_enabled_events,increase_rank_advertised_rank_events,dis_flood_attack_enabled_events,dis_flood_sent_events,dio_suppression_attack_enabled_events,dio_suppression_events,worst_parent_attack_enabled_events,worst_parent_selection_events,wormhole_attack_enabled_events,wormhole_endpoint_radio_events,sybil_attack_enabled_events,sybil_spoofed_dio_events,sybil_sent_dio_events
SH_ATTACK_N16_SEED234567,BASELINE,sinkhole,attack,1,0,16,234567,60,120,0,0,0,0,0,1073,40168,2230,16,342,170,278,42,0,0,0,0,0,0,0,0,0,0,0,15,16,256,571.464,748,492,278,256,571.464,748,492,0,0,562.1905,256,536.4651,715,459,0,0,0,16,128,577.375,878,750,7.6875,12,15,8,4,1,2.8667,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SH_ATTACK_N16_SEED234567,BASELINE,sinkhole,attack,1,0,16,234567,120,180,0,140,140,0,14,1072,39625,2230,16,343,175,138,25,0,0,0,0,0,0,0,0,0,0,0,16,16,128,516.1957,687,559,137,256,519.0292,687,431,0,0,516.36,256,514.7132,683,427,0,0,0,16,128,499.3125,710,582,8.125,13,15,8,4,1,2.8667,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SH_ATTACK_N16_SEED234567,BASELINE,sinkhole,attack,1,0,16,234567,180,240,0,60,60,0,6,1031,37414,2100,16,337,171,18,11,0,0,0,0,0,0,0,0,0,0,0,11,12,128,442.8333,664,536,17,384,461.3529,664,280,0,0,476.4545,256,514.6822,683,427,0,0,0,16,128,484.125,672,544,8.125,13,15,8,4,1,2.8667,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SH_ATTACK_N16_SEED234567,BASELINE,sinkhole,attack,1,1,16,234567,240,300,1,80,80,0,8,1065,39715,2186,16,343,171,147,31,0,0,0,0,0,0,0,0,0,0,0,15,16,128,423.8571,655,527,147,128,423.8571,655,527,25,1,426.3548,128,473.6434,657,529,5,1,5,16,128,471.625,657,529,8.125,13,15,8,4,1,2.8667,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SH_ATTACK_N16_SEED234567,BASELINE,sinkhole,attack,1,1,16,234567,300,360,1,130,130,0,13,1026,37249,2134,16,337,167,21,10,0,0,0,0,0,0,0,0,0,0,0,10,14,128,437.4762,647,519,21,128,437.4762,647,519,5,1,415.3,128,473.1008,653,525,5,1,5,16,128,436.8125,651,523,8.125,13,15,8,4,1,2.8667,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SH_ATTACK_N16_SEED234567,BASELINE,sinkhole,attack,1,1,16,234567,360,420,1,10,10,0,1,1025,37148,2103,16,333,166,14,14,0,0,0,0,0,0,0,0,0,0,0,13,6,256,442.9286,646,390,14,256,442.9286,646,390,0,0,442.9286,128,470.907,653,525,5,1,5,16,128,437.25,646,518,8.125,13,15,8,4,1,2.8667,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SH_ATTACK_N16_SEED234567,BASELINE,sinkhole,attack,1,1,16,234567,420,480,1,140,140,0,14,1032,37747,2126,16,338,171,79,16,0,0,0,0,0,0,0,0,0,0,0,13,16,128,434.2025,646,518,78,128,438.1282,646,518,5,1,435.125,128,453.3721,653,525,5,1,5,16,128,435.5625,646,518,8.125,13,15,8,4,1,2.8667,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SH_ATTACK_N16_SEED234567,BASELINE,sinkhole,attack,1,1,16,234567,480,540,1,60,60,0,6,1070,39126,2193,16,344,173,63,19,0,0,0,0,0,0,0,0,0,0,0,14,15,256,489.6825,646,390,63,256,489.6825,646,390,0,0,475.3684,128,452.1705,646,518,5,1,5,16,128,427.0625,646,518,8.125,13,15,8,4,1,2.8667,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SH_ATTACK_N16_SEED345678,BASELINE,sinkhole,attack,1,0,16,345678,0,60,0,0,0,0,0,596,26481,1300,16,178,87,356,100,53,14,14,28,15,1,14,7,15,15,0,16,16,128,11879.4972,65535,65407,352,281,12013.0369,65535,65254,0,0,40826.62,281,1670.5082,65535,65254,0,0,0,15,338,681.8667,868,530,2.7333,6,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SH_ATTACK_N16_SEED345678,BASELINE,sinkhole,attack,1,0,16,345678,60,120,0,0,0,0,0,1074,40361,2250,16,342,172,272,39,0,0,1,2,0,0,0,0,0,0,0,16,16,128,603.1213,824,696,271,256,604.8745,824,568,0,0,601.359,256,541.5116,706,450,0,0,0,16,128,575.6875,833,705,7.6875,12,15,7,4,1,2.8667,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SH_ATTACK_N16_SEED345678,BASELINE,sinkhole,attack,1,0,16,345678,120,180,0,140,139,0,14,1054,39044,2212,16,336,170,134,29,0,0,0,0,0,0,0,0,0,0,0,14,16,256,506.6567,691,435,134,256,506.6567,691,435,0,0,504.1034,256,519.6279,706,450,0,0,0,16,128,499.125,701,573,8.125,13,15,7,4,1,2.8667,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SH_ATTACK_N16_SEED345678,BASELINE,sinkhole,attack,1,0,16,345678,180,240,0,40,40,0,4,1050,38894,2266,16,338,174,43,15,0,0,0,0,0,0,0,0,0,0,0,12,16,128,504.5116,678,550,42,256,513.4762,678,422,0,0,482.4,256,516.1628,702,446,0,0,0,16,128,486.4375,681,553,8.125,13,15,7,4,1,2.8667,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SH_ATTACK_N16_SEED345678,BASELINE,sinkhole,attack,1,1,16,345678,240,300,1,100,100,0,10,1086,40190,2265,16,352,175,127,26,0,0,0,0,0,0,0,0,0,0,0,15,16,128,402.811,665,537,127,128,402.811,665,537,20,1,422.3462,128,452.6124,672,544,5,1,5,16,128,460.5625,675,547,8.125,13,15,7,4,1,2.8667,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SH_ATTACK_N16_SEED345678,BASELINE,sinkhole,attack,1,1,16,345678,300,360,1,110,109,0,11,1023,37242,2119,16,335,171,20,12,0,0,0,0,0,0,0,0,0,0,0,11,9,128,258.25,650,522,20,128,258.25,650,522,10,1,345.0833,128,448.0853,672,544,5,1,5,16,128,372.25,655,527,8.125,13,15,7,4,1,2.8667,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SH_ATTACK_N16_SEED345678,BASELINE,sinkhole,attack,1,1,16,345678,360,420,1,30,29,0,3,1059,38735,2203,16,343,173,17,17,0,0,0,0,0,0,0,0,0,0,0,13,8,128,295.7647,512,384,17,128,295.7647,512,384,5,1,295.7647,128,440.2636,663,535,5,1,5,16,128,370.5625,650,522,8.125,13,15,7,4,1,2.8667,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SH_ATTACK_N16_SEED345678,BASELINE,sinkhole,attack,1,1,16,345678,420,480,1,140,140,0,14,1048,38608,2172,16,337,171,109,23,0,0,0,0,0,0,0,0,0,0,0,15,16,128,364.055,650,522,109,128,364.055,650,522,5,1,380.1739,128,387.7054,659,531,5,1,5,16,128,369.875,650,522,8.125,13,15,7,4,1,2.8667,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SH_ATTACK_N16_SEED345678,BASELINE,sinkhole,attack,1,1,16,345678,480,540,1,50,49,0,5,1032,37419,2124,16,336,169,24,15,0,0,0,0,0,0,0,0,0,0,0,14,13,128,373.3333,512,384,23,256,384.0,512,256,0,0,366.9333,128,382.1163,659,531,5,1,5,16,128,360.5,512,384,8.125,13,15,7,4,1,2.8667,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
