model,family,mode,seed,window_start_s,window_label,prediction,adwin_alarm,model_reset,label_delay_windows,feature_count
river_gaussian_nb,sinkhole,attack,234567,480,1,1,0,0,1,57
river_gaussian_nb_adwin_reset,sinkhole,attack,234567,0,0,0,0,0,1,57
river_gaussian_nb_adwin_reset,sinkhole,attack,234567,60,0,0,0,0,1,57
river_gaussian_nb_adwin_reset,sinkhole,attack,234567,120,0,0,0,0,1,57
river_gaussian_nb_adwin_reset,sinkhole,attack,234567,180,0,0,0,0,1,57
river_gaussian_nb_adwin_reset,sinkhole,attack,234567,240,1,0,0,0,1,57
river_gaussian_nb_adwin_reset,sinkhole,attack,234567,300,1,0,0,0,1,57
river_gaussian_nb_adwin_reset,sinkhole,attack,234567,360,1,1,0,0,1,57
river_gaussian_nb_adwin_reset,sinkhole,attack,234567,420,1,1,0,0,1,57
river_gaussian_nb_adwin_reset,sinkhole,attack,234567,480,1,1,0,0,1,57
river_hoeffding_tree,sinkhole,attack,234567,0,0,0,0,0,1,57
river_hoeffding_tree,sinkhole,attack,234567,60,0,0,0,0,1,57
river_hoeffding_tree,sinkhole,attack,234567,120,0,0,0,0,1,57
river_hoeffding_tree,sinkhole,attack,234567,180,0,0,0,0,1,57
river_hoeffding_tree,sinkhole,attack,234567,240,1,1,0,0,1,57
river_hoeffding_tree,sinkhole,attack,234567,300,1,1,0,0,1,57
river_hoeffding_tree,sinkhole,attack,234567,360,1,1,0,0,1,57
river_hoeffding_tree,sinkhole,attack,234567,420,1,1,0,0,1,57
river_hoeffding_tree,sinkhole,attack,234567,480,1,1,0,0,1,57
river_hoeffding_tree_adwin_reset,sinkhole,attack,234567,0,0,0,0,0,1,57
river_hoeffding_tree_adwin_reset,sinkhole,attack,234567,60,0,0,0,0,1,57
river_hoeffding_tree_adwin_reset,sinkhole,attack,234567,120,0,0,0,0,1,57
river_hoeffding_tree_adwin_reset,sinkhole,attack,234567,180,0,0,0,0,1,57
river_hoeffding_tree_adwin_reset,sinkhole,attack,234567,240,1,1,0,0,1,57
river_hoeffding_tree_adwin_reset,sinkhole,attack,234567,300,1,1,0,0,1,57
river_hoeffding_tree_adwin_reset,sinkhole,attack,234567,360,1,1,0,0,1,57
river_hoeffding_tree_adwin_reset,sinkhole,attack,234567,420,1,1,0,0,1,57
river_hoeffding_tree_adwin_reset,sinkhole,attack,234567,480,1,1,0,0,1,57
river_gaussian_nb,sinkhole,control,234567,0,0,0,0,0,1,57
river_gaussian_nb,sinkhole,control,234567,60,0,0,0,0,1,57
river_gaussian_nb,sinkhole,control,234567,120,0,0,0,0,1,57
river_gaussian_nb,sinkhole,control,234567,180,0,0,0,0,1,57
river_gaussian_nb,sinkhole,control,234567,240,0,0,0,0,1,57
river_gaussian_nb,sinkhole,control,234567,300,0,1,0,0,1,57
river_gaussian_nb,sinkhole,control,234567,360,0,1,0,0,1,57
river_gaussian_nb,sinkhole,control,234567,420,0,0,0,0,1,57
river_gaussian_nb,sinkhole,control,234567,480,0,0,0,0,1,57
river_gaussian_nb_adwin_reset,sinkhole,control,234567,0,0,0,0,0,1,57
river_gaussian_nb_adwin_reset,sinkhole,control,234567,60,0,0,0,0,1,57
river_gaussian_nb_adwin_reset,sinkhole,control,234567,120,0,0,0,0,1,57
river_gaussian_nb_adwin_reset,sinkhole,control,234567,180,0,0,0,0,1,57
river_gaussian_nb_adwin_reset,sinkhole,control,234567,240,0,0,0,0,1,57
river_gaussian_nb_adwin_reset,sinkhole,control,234567,300,0,1,0,0,1,57
river_gaussian_nb_adwin_reset,sinkhole,control,234567,360,0,1,0,0,1,57
river_gaussian_nb_adwin_reset,sinkhole,control,234567,420,0,0,0,0,1,57
river_gaussian_nb_adwin_reset,sinkhole,control,234567,480,0,0,0,0,1,57
river_hoeffding_tree,sinkhole,control,234567,0,0,0,0,0,1,57
river_hoeffding_tree,sinkhole,control,234567,60,0,0,0,0,1,57
river_hoeffding_tree,sinkhole,control,234567,120,0,0,0,0,1,57
river_hoeffding_tree,sinkhole,control,234567,180,0,0,0,0,1,57
river_hoeffding_tree,sinkhole,control,234567,240,0,0,0,0,1,57
river_hoeffding_tree,sinkhole,control,234567,300,0,0,0,0,1,57
river_hoeffding_tree,sinkhole,control,234567,360,0,0,0,0,1,57
river_hoeffding_tree,sinkhole,control,234567,420,0,0,0,0,1,57
river_hoeffding_tree,sinkhole,control,234567,480,0,0,0,0,1,57
river_hoeffding_tree_adwin_reset,sinkhole,control,234567,0,0,0,0,0,1,57
river_hoeffding_tree_adwin_reset,sinkhole,control,234567,60,0,0,0,0,1,57
river_hoeffding_tree_adwin_reset,sinkhole,control,234567,120,0,0,0,0,1,57
river_hoeffding_tree_adwin_reset,sinkhole,control,234567,180,0,0,0,0,1,57
river_hoeffding_tree_adwin_reset,sinkhole,control,234567,240,0,0,0,0,1,57
river_hoeffding_tree_adwin_reset,sinkhole,control,234567,300,0,0,0,0,1,57
river_hoeffding_tree_adwin_reset,sinkhole,control,234567,360,0,0,0,0,1,57
river_hoeffding_tree_adwin_reset,sinkhole,control,234567,420,0,0,0,0,1,57
river_hoeffding_tree_adwin_reset,sinkhole,control,234567,480,0,0,0,0,1,57
river_gaussian_nb,sinkhole,attack,345678,0,0,0,0,0,1,57
river_gaussian_nb,sinkhole,attack,345678,60,0,0,0,0,1,57
river_gaussian_nb,sinkhole,attack,345678,120,0,0,0,0,1,57
river_gaussian_nb,sinkhole,attack,345678,180,0,0,0,0,1,57
river_gaussian_nb,sinkhole,attack,345678,240,1,0,0,0,1,57
river_gaussian_nb,sinkhole,attack,345678,300,1,0,0,0,1,57
river_gaussian_nb,sinkhole,attack,345678,360,1,1,0,0,1,57
river_gaussian_nb,sinkhole,attack,345678,420,1,1,0,0,1,57
river_gaussian_nb,sinkhole,attack,345678,480,1,1,0,0,1,57
river_gaussian_nb_adwin_reset,sinkhole,attack,345678,0,0,0,0,0,1,57
river_gaussian_nb_adwin_reset,sinkhole,attack,345678,60,0,0,0,0,1,57
river_gaussian_nb_adwin_reset,sinkhole,attack,345678,120,0,0,0,0,1,57
river_gaussian_nb_adwin_reset,sinkhole,attack,345678,180,0,0,0,0,1,57
river_gaussian_nb_adwin_reset,sinkhole,attack,345678,240,1,0,0,0,1,57
river_gaussian_nb_adwin_reset,sinkhole,attack,345678,300,1,0,0,0,1,57
river_gaussian_nb_adwin_reset,sinkhole,attack,345678,360,1,1,0,0,1,57
river_gaussian_nb_adwin_reset,sinkhole,attack,345678,420,1,1,0,0,1,57
river_gaussian_nb_adwin_reset,sinkhole,attack,345678,480,1,1,0,0,1,57
river_hoeffding_tree,sinkhole,attack,345678,0,0,0,0,0,1,57
river_hoeffding_tree,sinkhole,attack,345678,60,0,0,0,0,1,57
river_hoeffding_tree,sinkhole,attack,345678,120,0,0,0,0,1,57
river_hoeffding_tree,sinkhole,attack,345678,180,0,0,0,0,1,57
river_hoeffding_tree,sinkhole,attack,345678,240,1,1,0,0,1,57
river_hoeffding_tree,sinkhole,attack,345678,300,1,0,0,0,1,57
river_hoeffding_tree,sinkhole,attack,345678,360,1,0,0,0,1,57
river_hoeffding_tree,sinkhole,attack,345678,420,1,1,0,0,1,57
river_hoeffding_tree,sinkhole,attack,345678,480,1,0,0,0,1,57
river_hoeffding_tree_adwin_reset,sinkhole,attack,345678,0,0,0,0,0,1,57
river_hoeffding_tree_adwin_reset,sinkhole,attack,345678,60,0,0,0,0,1,57
river_hoeffding_tree_adwin_reset,sinkhole,attack,345678,120,0,0,0,0,1,57
river_hoeffding_tree_adwin_reset,sinkhole,attack,345678,180,0,0,0,0,1,57
river_hoeffding_tree_adwin_reset,sinkhole,attack,345678,240,1,1,0,0,1,57
river_hoeffding_tree_adwin_reset,sinkhole,attack,345678,300,1,0,0,0,1,57
river_hoeffding_tree_adwin_reset,sinkhole,attack,345678,360,1,0,0,0,1,57
river_hoeffding_tree_adwin_reset,sinkhole,attack,345678,420,1,1,0,0,1,57
river_hoeffding_tree_adwin_reset,sinkhole,attack,345678,480,1,0,0,0,1,57
river_gaussian_nb,sinkhole,control,345678,0,0,0,0,0,1,57
river_gaussian_nb,sinkhole,control,345678,60,0,0,0,0,1,57
river_gaussian_nb,sinkhole,control,345678,120,0,0,0,0,1,57
river_gaussian_nb,sinkhole,control,345678,180,0,0,0,0,1,57
river_gaussian_nb,sinkhole,control,345678,240,0,0,0,0,1,57
river_gaussian_nb,sinkhole,control,345678,300,0,1,0,0,1,57
river_gaussian_nb,sinkhole,control,345678,360,0,1,0,0,1,57
river_gaussian_nb,sinkhole,control,345678,420,0,0,0,0,1,57
river_gaussian_nb,sinkhole,control,345678,480,0,0,0,0,1,57
river_gaussian_nb_adwin_reset,sinkhole,control,345678,0,0,0,0,0,1,57
river_gaussian_nb_adwin_reset,sinkhole,control,345678,60,0,0,0,0,1,57
river_gaussian_nb_adwin_reset,sinkhole,control,345678,120,0,0,0,0,1,57
river_gaussian_nb_adwin_reset,sinkhole,control,345678,180,0,0,0,0,1,57
river_gaussian_nb_adwin_reset,sinkhole,control,345678,240,0,0,0,0,1,57
river_gaussian_nb_adwin_reset,sinkhole,control,345678,300,0,1,0,0,1,57
river_gaussian_nb_adwin_reset,sinkhole,control,345678,360,0,1,0,0,1,57
river_gaussian_nb_adwin_reset,sinkhole,control,345678,420,0,0,0,0,1,57
river_gaussian_nb_adwin_reset,sinkhole,control,345678,480,0,0,0,0,1,57
river_hoeffding_tree,sinkhole,control,345678,0,0,0,0,0,1,57
river_hoeffding_tree,sinkhole,control,345678,60,0,0,0,0,1,57
river_hoeffding_tree,sinkhole,control,345678,120,0,0,0,0,1,57
river_hoeffding_tree,sinkhole,control,345678,180,0,0,0,0,1,57
river_hoeffding_tree,sinkhole,control,345678,240,0,0,0,0,1,57
river_hoeffding_tree,sinkhole,control,345678,300,0,0,0,0,1,57
river_hoeffding_tree,sinkhole,control,345678,360,0,0,0,0,1,57
river_hoeffding_tree,sinkhole,control,345678,420,0,0,0,0,1,57
river_hoeffding_tree,sinkhole,control,345678,480,0,0,0,0,1,57
river_hoeffding_tree_adwin_reset,sinkhole,control,345678,0,0,0,0,0,1,57
river_hoeffding_tree_adwin_reset,sinkhole,control,345678,60,0,0,0,0,1,57
river_hoeffding_tree_adwin_reset,sinkhole,control,345678,120,0,0,0,0,1,57
river_hoeffding_tree_adwin_reset,sinkhole,control,345678,180,0,0,0,0,1,57
river_hoeffding_tree_adwin_reset,sinkhole,control,345678,240,0,0,0,0,1,57
river_hoeffding_tree_adwin_reset,sinkhole,control,345678,300,0,0,0,0,1,57
river_hoeffding_tree_adwin_reset,sinkhole,control,345678,360,0,0,0,0,1,57
river_hoeffding_tree_adwin_reset,sinkhole,control,345678,420,0,0,0,0,1,57
river_hoeffding_tree_adwin_reset,sinkhole,control,345678,480,0,0,0,0,1,57
river_gaussian_nb,sinkhole,attack,456789,0,0,0,0,0,1,57
river_gaussian_nb,sinkhole,attack,456789,60,0,0,0,0,1,57
river_gaussian_nb,sinkhole,attack,456789,120,0,0,0,0,1,57
river_gaussian_nb,sinkhole,attack,456789,180,0,0,0,0,1,57
river_gaussian_nb,sinkhole,attack,456789,240,1,0,0,0,1,57
river_gaussian_nb,sinkhole,attack,456789,300,1,0,0,0,1,57
river_gaussian_nb,sinkhole,attack,456789,360,1,1,0,0,1,57
river_gaussian_nb,sinkhole,attack,456789,420,1,1,0,0,1,57
river_gaussian_nb,sinkhole,attack,456789,480,1,1,0,0,1,57
river_gaussian_nb_adwin_reset,sinkhole,attack,456789,0,0,0,0,0,1,57
river_gaussian_nb_adwin_reset,sinkhole,attack,456789,60,0,0,0,0,1,57
river_gaussian_nb_adwin_reset,sinkhole,attack,456789,120,0,0,0,0,1,57
river_gaussian_nb_adwin_reset,sinkhole,attack,456789,180,0,0,0,0,1,57
river_gaussian_nb_adwin_reset,sinkhole,attack,456789,240,1,0,0,0,1,57
river_gaussian_nb_adwin_reset,sinkhole,attack,456789,300,1,0,0,0,1,57
river_gaussian_nb_adwin_reset,sinkhole,attack,456789,360,1,1,0,0,1,57
river_gaussian_nb_adwin_reset,sinkhole,attack,456789,420,1,1,0,0,1,57
river_gaussian_nb_adwin_reset,sinkhole,attack,456789,480,1,1,0,0,1,57
river_hoeffding_tree,sinkhole,attack,456789,0,0,0,0,0,1,57
river_hoeffding_tree,sinkhole,attack,456789,60,0,0,0,0,1,57
river_hoeffding_tree,sinkhole,attack,456789,120,0,0,0,0,1,57
river_hoeffding_tree,sinkhole,attack,456789,180,0,0,0,0,1,57
river_hoeffding_tree,sinkhole,attack,456789,240,1,1,0,0,1,57
river_hoeffding_tree,sinkhole,attack,456789,300,1,0,0,0,1,57
river_hoeffding_tree,sinkhole,attack,456789,360,1,1,0,0,1,57
river_hoeffding_tree,sinkhole,attack,456789,420,1,1,0,0,1,57
river_hoeffding_tree,sinkhole,attack,456789,480,1,1,0,0,1,57
river_hoeffding_tree_adwin_reset,sinkhole,attack,456789,0,0,0,0,0,1,57
river_hoeffding_tree_adwin_reset,sinkhole,attack,456789,60,0,0,0,0,1,57
river_hoeffding_tree_adwin_reset,sinkhole,attack,456789,120,0,0,0,0,1,57
river_hoeffding_tree_adwin_reset,sinkhole,attack,456789,180,0,0,0,0,1,57
river_hoeffding_tree_adwin_reset,sinkhole,attack,456789,240,1,1,0,0,1,57
river_hoeffding_tree_adwin_reset,sinkhole,attack,456789,300,1,0,0,0,1,57
river_hoeffding_tree_adwin_reset,sinkhole,attack,456789,360,1,1,0,0,1,57
river_hoeffding_tree_adwin_reset,sinkhole,attack,456789,420,1,1,0,0,1,57
river_hoeffding_tree_adwin_reset,sinkhole,attack,456789,480,1,1,0,0,1,57
river_gaussian_nb,sinkhole,control,456789,0,0,0,0,0,1,57
river_gaussian_nb,sinkhole,control,456789,60,0,0,0,0,1,57
river_gaussian_nb,sinkhole,control,456789,120,0,0,0,0,1,57
river_gaussian_nb,sinkhole,control,456789,180,0,0,0,0,1,57
river_gaussian_nb,sinkhole,control,456789,240,0,0,0,0,1,57
river_gaussian_nb,sinkhole,control,456789,300,0,1,0,0,1,57
river_gaussian_nb,sinkhole,control,456789,360,0,1,0,0,1,57
river_gaussian_nb,sinkhole,control,456789,420,0,0,0,0,1,57
river_gaussian_nb,sinkhole,control,456789,480,0,1,0,0,1,57
river_gaussian_nb_adwin_reset,sinkhole,control,456789,0,0,0,0,0,1,57
river_gaussian_nb_adwin_reset,sinkhole,control,456789,60,0,0,0,0,1,57
river_gaussian_nb_adwin_reset,sinkhole,control,456789,120,0,0,0,0,1,57
river_gaussian_nb_adwin_reset,sinkhole,control,456789,180,0,0,0,0,1,57
river_gaussian_nb_adwin_reset,sinkhole,control,456789,240,0,0,0,0,1,57
river_gaussian_nb_adwin_reset,sinkhole,control,456789,300,0,1,0,0,1,57
river_gaussian_nb_adwin_reset,sinkhole,control,456789,360,0,1,0,0,1,57
river_gaussian_nb_adwin_reset,sinkhole,control,456789,420,0,0,0,0,1,57
river_gaussian_nb_adwin_reset,sinkhole,control,456789,480,0,1,0,0,1,57
river_hoeffding_tree,sinkhole,control,456789,0,0,0,0,0,1,57
river_hoeffding_tree,sinkhole,control,456789,60,0,0,0,0,1,57
river_hoeffding_tree,sinkhole,control,456789,120,0,0,0,0,1,57
river_hoeffding_tree,sinkhole,control,456789,180,0,0,0,0,1,57
river_hoeffding_tree,sinkhole,control,456789,240,0,0,0,0,1,57
river_hoeffding_tree,sinkhole,control,456789,300,0,0,0,0,1,57
river_hoeffding_tree,sinkhole,control,456789,360,0,0,0,0,1,57
river_hoeffding_tree,sinkhole,control,456789,420,0,0,0,0,1,57
river_hoeffding_tree,sinkhole,control,456789,480,0,0,0,0,1,57
river_hoeffding_tree_adwin_reset,sinkhole,control,456789,0,0,0,0,0,1,57
river_hoeffding_tree_adwin_reset,sinkhole,control,456789,60,0,0,0,0,1,57
river_hoeffding_tree_adwin_reset,sinkhole,control,456789,120,0,0,0,0,1,57
river_hoeffding_tree_adwin_reset,sinkhole,control,456789,180,0,0,0,0,1,57
river_hoeffding_tree_adwin_reset,sinkhole,control,456789,240,0,0,0,0,1,57
river_hoeffding_tree_adwin_reset,sinkhole,control,456789,300,0,0,0,0,1,57
river_hoeffding_tree_adwin_reset,sinkhole,control,456789,360,0,0,0,0,1,57
river_hoeffding_tree_adwin_reset,sinkhole,control,456789,420,0,0,0,0,1,57
river_hoeffding_tree_adwin_reset,sinkhole,control,456789,480,0,0,0,0,1,57
river_gaussian_nb,sinkhole,attack,567890,0,0,0,0,0,1,57
river_gaussian_nb,sinkhole,attack,567890,60,0,0,0,0,1,57
river_gaussian_nb,sinkhole,attack,567890,120,0,0,0,0,1,57
river_gaussian_nb,sinkhole,attack,567890,180,0,1,0,0,1,57
river_gaussian_nb,sinkhole,attack,567890,240,1,0,0,0,1,57
river_gaussian_nb,sinkhole,attack,567890,300,1,0,0,0,1,57
river_gaussian_nb,sinkhole,attack,567890,360,1,1,0,0,1,57
river_gaussian_nb,sinkhole,attack,567890,420,1,1,0,0,1,57
river_gaussian_nb,sinkhole,attack,567890,480,1,1,0,0,1,57
river_gaussian_nb_adwin_reset,sinkhole,attack,567890,0,0,0,0,0,1,57
river_gaussian_nb_adwin_reset,sinkhole,attack,567890,60,0,0,0,0,1,57
