run_id,family,mode,binary_run_label,window_label,nodes,seed,window_start_s,window_end_s,post_activation,app_tx_delta,app_rx_delta,app_missed_delta,app_reporting_nodes,radio_tx_count,radio_bytes,radio_interfered_count,unique_radio_senders,attacker_node16_radio_tx,root_node1_radio_tx,dio_rx_count,dio_tx_count,dis_rx_count,dis_tx_count,dao_rx_count,dao_tx_count,parent_switch_count,parent_switch_to_root_count,parent_switch_to_nonroot_count,unique_parent_targets,parent_found_events,no_parent_events,significant_rank_update_count,unique_dio_senders,unique_dio_receivers,dio_rx_rank_min,dio_rx_rank_mean,dio_rx_rank_max,dio_rx_rank_range,dio_rx_nonroot_count,dio_rx_nonroot_rank_min,dio_rx_nonroot_rank_mean,dio_rx_nonroot_rank_max,dio_rx_nonroot_rank_range,dio_rx_low_rank_nonroot_count,unique_low_rank_nonroot_senders,dio_tx_rank_mean,state_nonroot_rank_min,state_nonroot_rank_mean,state_nonroot_rank_max,state_nonroot_rank_range,state_low_rank_nonroot_pairs,state_low_rank_nonroot_senders,state_receivers_exposed_low_rank_nonroot,own_state_sample_count,own_rank_min,own_rank_mean,own_rank_max,own_rank_range,own_neighbor_count_mean,own_neighbor_count_max,topology_edge_count,topology_unique_parents,topology_max_parent_fanout,topology_root_direct_children,topology_mean_depth,topology_max_depth,sinkhole_attack_enabled_events,sinkhole_advertised_rank_events,blackhole_attack_enabled_events,blackhole_drop_events,grayhole_attack_enabled_events,grayhole_drop_events,increase_rank_attack_enabled_events,increase_rank_advertised_rank_events,dis_flood_attack_enabled_events,dis_flood_sent_events,dio_suppression_attack_enabled_events,dio_suppression_events,worst_parent_attack_enabled_events,worst_parent_selection_events,wormhole_attack_enabled_events,wormhole_endpoint_radio_events
DIO_SUPPRESSION_ATTACK_N16_SEED123456,dio_suppression,attack,1,0,16,123456,0,60,0,0,0,0,0,623,27507,1290,16,188,90,33,8,2,0,0,1,1,1,0,1,1,1,0,5,1,128,31985.7576,65535,65407,29,456,36379.931,65535,65079,0,0,32919.75,456,471.0,500,44,0,0,0,1,338,338.0,338,0,1.0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIO_SUPPRESSION_ATTACK_N16_SEED123456,dio_suppression,attack,1,0,16,123456,60,120,0,0,0,0,0,1069,40249,2128,16,337,171,8,1,0,0,0,0,0,0,0,0,0,0,0,5,1,128,378.875,449,321,7,384,414.7143,449,65,0,0,256.0,384,413.0,449,65,0,0,0,1,256,256.0,256,0,5.0,5,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIO_SUPPRESSION_ATTACK_N16_SEED123456,dio_suppression,attack,1,0,16,123456,120,180,0,140,140,0,14,1046,38768,2088,16,337,172,4,1,0,0,0,0,0,0,0,0,0,0,0,4,1,384,394.25,406,22,4,384,394.25,406,22,0,0,256.0,384,394.25,406,22,0,0,0,1,256,256.0,256,0,5.0,5,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIO_SUPPRESSION_ATTACK_N16_SEED123456,dio_suppression,attack,1,0,16,123456,180,240,0,40,40,0,4,1029,37392,2001,16,333,168,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,128,128.0,128,0,0,0.0,0.0,0.0,0.0,0,0,256.0,384,394.25,406,22,0,0,0,1,256,256.0,256,0,5.0,5,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIO_SUPPRESSION_ATTACK_N16_SEED123456,dio_suppression,attack,1,1,16,123456,240,300,1,100,98,0,10,1036,38317,2029,16,332,167,4,0,0,0,0,0,0,0,0,0,0,0,0,4,1,384,384.75,386,2,4,384,384.75,386,2,0,0,0.0,384,384.75,386,2,0,0,0,1,256,256.0,256,0,5.0,5,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
DIO_SUPPRESSION_ATTACK_N16_SEED123456,dio_suppression,attack,1,1,16,123456,300,360,1,130,130,0,13,1036,37480,2027,16,337,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,384,384.75,386,2,0,0,0,1,256,256.0,256,0,5.0,5,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIO_SUPPRESSION_ATTACK_N16_SEED123456,dio_suppression,attack,1,1,16,123456,360,420,1,10,10,0,1,1054,38271,2076,16,343,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,384,384.75,386,2,0,0,0,1,256,256.0,256,0,5.0,5,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIO_SUPPRESSION_ATTACK_N16_SEED123456,dio_suppression,attack,1,1,16,123456,420,480,1,140,140,0,14,1033,38086,2038,16,337,168,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,128,256.0,384,256,1,384,384.0,384,0,0,0,0.0,384,384.25,385,1,0,0,0,1,256,256.0,256,0,5.0,5,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
DIO_SUPPRESSION_ATTACK_N16_SEED123456,dio_suppression,attack,1,1,16,123456,480,540,1,30,30,0,3,1032,37700,2028,16,335,166,3,0,0,0,0,0,0,0,0,0,0,0,0,3,1,384,384.0,384,0,3,384,384.0,384,0,0,0,0.0,384,384.0,384,0,0,0,0,1,256,256.0,256,0,5.0,5,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIO_SUPPRESSION_ATTACK_N16_SEED234567,dio_suppression,attack,1,0,16,234567,0,60,0,0,0,0,0,611,27199,1316,16,184,88,34,8,1,0,0,1,1,1,0,1,1,1,0,5,1,128,31057.0588,65535,65407,30,442,35180.9333,65535,65093,0,0,32917.0,442,463.25,488,46,0,0,0,1,338,338.0,338,0,1.0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
